Latitude,Longitude,Stop Name,Stop Status 
40.700453,-73.910049,PALMETTO ST/ST NICHOLAS AV,at stop
40.68789,-73.935874,GATES AV/LEWIS AV,at stop
40.692367,-73.919266,GATES AV/EVERGREEN AV,at stop
40.696137,-73.989669,Tillary St (not used),at stop
40.695477,-73.916211,GATES AV/WILSON AV,approaching
40.686288,-73.974487,FULTON ST/S PORTLAND AV,approaching
40.691166,-73.986656,FULTON ST/JAY ST,approaching
40.688507,-73.930451,GATES AV/MALCOLM X BL,approaching
40.685714,-73.954887,GATES AV/BEDFORD AV,approaching
40.691218,-73.986807,FULTON ST/HOYT ST,approaching
40.696205,-73.990924,Tillary St (not used),approaching
40.686109,-73.974034,FULTON ST/S ELLIOTT PL,approaching
40.686021,-73.952111,GATES AV/BEDFORD AV,< 1 stop away
40.700486,-73.910016,GATES AV/WYCKOFF AV,< 1 stop away
